ID,GroupLabel,Statistic,Test_Phase,BR_Day,Unit,Value
282,Exercise,SERR,IN_TEST,28,LYMPHOCYTES (%),2.7
283,Exercise,SERR,IN_TEST,71,LYMPHOCYTES (%),1.9
284,Exercise,SERR,POST_TEST,5,LYMPHOCYTES (%),1.9
285,Exercise,TTEST,PRE_TEST,10,LYMPHOCYTES (%),NA
286,Exercise,TTEST,IN_TEST,28,LYMPHOCYTES (%),0.917
287,Exercise,TTEST,IN_TEST,71,LYMPHOCYTES (%),0.923
288,Exercise,TTEST,POST_TEST,5,LYMPHOCYTES (%),0.335
289,Exercise,MEAN,PRE_TEST,10,MONOCYTES (%),4
290,Exercise,MEAN,IN_TEST,28,MONOCYTES (%),5
291,Exercise,MEAN,IN_TEST,71,MONOCYTES (%),5
292,Exercise,MEAN,POST_TEST,5,MONOCYTES (%),5
293,Exercise,SERR,PRE_TEST,10,MONOCYTES (%),0.3
294,Exercise,SERR,IN_TEST,28,MONOCYTES (%),0.4
295,Exercise,SERR,IN_TEST,71,MONOCYTES (%),0.3
296,Exercise,SERR,POST_TEST,5,MONOCYTES (%),0.3
297,Exercise,TTEST,PRE_TEST,10,MONOCYTES (%),NA
298,Exercise,TTEST,IN_TEST,28,MONOCYTES (%),0.008
299,Exercise,TTEST,IN_TEST,71,MONOCYTES (%),0.048
300,Exercise,TTEST,POST_TEST,5,MONOCYTES (%),0.037
301,Exercise,MEAN,PRE_TEST,10,CD3+ (%),69
302,Exercise,MEAN,IN_TEST,28,CD3+ (%),69
303,Exercise,MEAN,IN_TEST,71,CD3+ (%),68
304,Exercise,MEAN,POST_TEST,5,CD3+ (%),70
305,Exercise,SERR,PRE_TEST,10,CD3+ (%),2.1
306,Exercise,SERR,IN_TEST,28,CD3+ (%),2.0
307,Exercise,SERR,IN_TEST,71,CD3+ (%),2.1
308,Exercise,SERR,POST_TEST,5,CD3+ (%),2.0
309,Exercise,TTEST,PRE_TEST,10,CD3+ (%),NA
310,Exercise,TTEST,IN_TEST,28,CD3+ (%),0.504
311,Exercise,TTEST,IN_TEST,71,CD3+ (%),0.840
312,Exercise,TTEST,POST_TEST,5,CD3+ (%),0.166
313,Exercise,MEAN,PRE_TEST,10,CD19+ (%),10
314,Exercise,MEAN,IN_TEST,28,CD19+ (%),10
315,Exercise,MEAN,IN_TEST,71,CD19+ (%),11
316,Exercise,MEAN,POST_TEST,5,CD19+ (%),11
317,Exercise,SERR,PRE_TEST,10,CD19+ (%),1.4
318,Exercise,SERR,IN_TEST,28,CD19+ (%),1.1
319,Exercise,SERR,IN_TEST,71,CD19+ (%),1.3
320,Exercise,SERR,POST_TEST,5,CD19+ (%),1.2
321,Exercise,TTEST,PRE_TEST,10,CD19+ (%),NA
322,Exercise,TTEST,IN_TEST,28,CD19+ (%),0.260
323,Exercise,TTEST,IN_TEST,71,CD19+ (%),0.044
324,Exercise,TTEST,POST_TEST,5,CD19+ (%),0.060
325,Exercise,MEAN,PRE_TEST,10,CD16/56+ (%),14
326,Exercise,MEAN,IN_TEST,28,CD16/56+ (%),13
327,Exercise,MEAN,IN_TEST,71,CD16/56+ (%),14
328,Exercise,MEAN,POST_TEST,5,CD16/56+ (%),13
329,Exercise,SERR,PRE_TEST,10,CD16/56+ (%),2.2
330,Exercise,SERR,IN_TEST,28,CD16/56+ (%),2.0
